Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
298.15,0.1,6.7824,0.14744,-17.647,-17.632,-52.742,177.78,225.11,1132.3,-0.41073,390.13,0.1222,liquid
303.15,0.1,6.7398,0.14837,-16.517,-16.502,-48.983,179.56,227.02,1110.6,-0.40279,369.72,0.12069,liquid
308.15,0.1,6.697,0.14932,-15.377,-15.362,-45.253,181.36,228.98,1089.0,-0.39461,350.87,0.11918,liquid
313.15,0.1,6.654,0.15029,-14.227,-14.212,-41.551,183.18,230.97,1067.6,-0.38618,333.4,0.11769,liquid
318.15,0.1,6.6107,0.15127,-13.067,-13.052,-37.877,185.03,232.99,1046.2,-0.37748,317.19,0.1162,liquid
323.15,0.1,6.567,0.15228,-11.897,-11.882,-34.228,186.89,235.05,1025.0,-0.36851,302.09,0.11472,liquid
328.15,0.1,6.523,0.1533,-10.717,-10.701,-30.603,188.77,237.13,1003.8,-0.35924,288.0,0.11326,liquid
333.15,0.1,6.4787,0.15435,-9.5259,-9.5105,-27.001,190.67,239.24,982.79,-0.34966,274.83,0.1118,liquid
338.15,0.1,6.434,0.15543,-8.3245,-8.3089,-23.421,192.58,241.38,961.85,-0.33974,262.49,0.11035,liquid
343.15,0.1,6.3888,0.15652,-7.1123,-7.0966,-19.862,194.5,243.55,941.0,-0.32946,250.91,0.10891,liquid
348.15,0.1,6.3432,0.15765,-5.8892,-5.8734,-16.323,196.43,245.74,920.23,-0.31879,240.01,0.10749,liquid
353.15,0.1,6.2971,0.1588,-4.6551,-4.6392,-12.803,198.37,247.96,899.55,-0.30768,229.74,0.10607,liquid
358.15,0.1,6.2505,0.15999,-3.4098,-3.3938,-9.3017,200.32,250.2,878.93,-0.29611,220.05,0.10467,liquid
363.15,0.1,6.2034,0.1612,-2.1533,-2.1372,-5.8173,202.27,252.47,858.38,-0.28402,210.88,0.10328,liquid
368.15,0.1,6.1557,0.16245,-0.88532,-0.86907,-2.3492,204.22,254.77,837.89,-0.27135,202.2,0.1019,liquid
371.1,0.1,6.1272,0.16321,-0.13113,-0.11481,-0.30862,205.38,256.14,825.82,-0.26358,197.28,0.10109,liquid
371.1,0.1,0.034204,29.236,28.726,31.65,85.287,192.32,203.41,170.73,31.757,7.207,0.019134,vapor
373.15,0.1,0.033976,29.433,29.124,32.067,86.409,193.19,204.21,171.37,31.045,7.249,0.019332,vapor
378.15,0.1,0.033433,29.91,30.102,33.093,89.14,195.31,206.16,172.9,29.392,7.3512,0.019819,vapor
383.15,0.1,0.032912,30.384,31.091,34.129,91.861,197.42,208.12,174.4,27.854,7.4532,0.020312,vapor
388.15,0.1,0.03241,30.855,32.089,35.174,94.572,199.52,210.08,175.87,26.422,7.5549,0.020811,vapor
393.15,0.1,0.031926,31.322,33.098,36.23,97.273,201.62,212.05,177.32,25.087,7.6564,0.021315,vapor
398.15,0.1,0.03146,31.787,34.116,37.295,99.965,203.71,214.01,178.74,23.842,7.7577,0.021825,vapor
403.15,0.1,0.031009,32.249,35.145,38.37,102.65,205.78,215.98,180.13,22.68,7.8588,0.022341,vapor
408.15,0.1,0.030573,32.708,36.184,39.455,105.32,207.85,217.94,181.51,21.593,7.9597,0.022862,vapor
413.15,0.1,0.030152,33.165,37.233,40.549,107.99,209.9,219.9,182.86,20.578,8.0603,0.023388,vapor
418.15,0.1,0.029744,33.621,38.292,41.654,110.65,211.95,221.86,184.19,19.627,8.1608,0.023919,vapor
423.15,0.1,0.029348,34.074,39.36,42.768,113.29,213.98,223.81,185.5,18.737,8.2612,0.024454,vapor
428.15,0.1,0.028965,34.525,40.439,43.892,115.93,216.0,225.75,186.8,17.903,8.3613,0.024995,vapor
433.15,0.1,0.028592,34.974,41.528,45.025,118.57,218.01,227.69,188.08,17.12,8.4613,0.025539,vapor
438.15,0.1,0.028231,35.422,42.626,46.169,121.19,220.0,229.62,189.34,16.386,8.5612,0.026088,vapor
443.15,0.1,0.027879,35.869,43.735,47.322,123.81,221.99,231.54,190.59,15.696,8.6608,0.026642,vapor
448.15,0.1,0.027538,36.314,44.853,48.484,126.42,223.96,233.45,191.82,15.048,8.7604,0.027199,vapor
453.15,0.1,0.027205,36.758,45.98,49.656,129.02,225.91,235.35,193.04,14.439,8.8597,0.027761,vapor
458.15,0.1,0.026882,37.2,47.117,50.837,131.61,227.86,237.25,194.24,13.865,8.959,0.028326,vapor
463.15,0.1,0.026567,37.641,48.264,52.028,134.19,229.79,239.13,195.44,13.324,9.058,0.028895,vapor
468.15,0.1,0.026259,38.082,49.421,53.229,136.77,231.71,241.0,196.62,12.814,9.1569,0.029467,vapor
473.15,0.1,0.02596,38.521,50.586,54.438,139.34,233.61,242.87,197.79,12.333,9.2557,0.030044,vapor
478.15,0.1,0.025668,38.959,51.762,55.657,141.91,235.5,244.72,198.95,11.879,9.3543,0.030623,vapor
483.15,0.1,0.025383,39.396,52.946,56.886,144.46,237.38,246.56,200.09,11.449,9.4528,0.031206,vapor
488.15,0.1,0.025105,39.833,54.14,58.123,147.01,239.24,248.39,201.23,11.043,9.5511,0.031792,vapor
493.15,0.1,0.024833,40.269,55.343,59.369,149.55,241.09,250.21,202.36,10.658,9.6493,0.032381,vapor
498.15,0.1,0.024568,40.704,56.555,60.625,152.08,242.93,252.01,203.48,10.293,9.7473,0.032973,vapor
503.15,0.1,0.024309,41.138,57.776,61.89,154.61,244.75,253.81,204.59,9.9474,9.8452,0.033568,vapor
508.15,0.1,0.024055,41.571,59.006,63.163,157.13,246.56,255.59,205.69,9.6191,9.9429,0.034166,vapor
513.15,0.1,0.023807,42.004,60.245,64.446,159.64,248.36,257.36,206.78,9.3074,10.04,0.034767,vapor
518.15,0.1,0.023565,42.437,61.493,65.737,162.14,250.14,259.12,207.86,9.0111,10.138,0.03537,vapor
523.15,0.1,0.023327,42.868,62.75,67.037,164.64,251.91,260.87,208.94,8.7293,10.235,0.035976,vapor
528.15,0.1,0.023095,43.3,64.015,68.345,167.13,253.67,262.6,210.01,8.4611,10.332,0.036585,vapor
533.15,0.1,0.022867,43.73,65.29,69.663,169.61,255.41,264.33,211.07,8.2056,10.429,0.037196,vapor
538.15,0.1,0.022645,44.16,66.573,70.989,172.09,257.15,266.04,212.12,7.9621,10.526,0.037809,vapor
543.15,0.1,0.022426,44.59,67.864,72.323,174.55,258.86,267.74,213.17,7.7299,10.623,0.038424,vapor
548.15,0.1,0.022213,45.019,69.164,73.666,177.02,260.57,269.43,214.21,7.5082,10.719,0.039042,vapor
553.15,0.1,0.022003,45.448,70.473,75.017,179.47,262.26,271.1,215.24,7.2966,10.815,0.039662,vapor
558.15,0.1,0.021797,45.877,71.789,76.377,181.92,263.94,272.77,216.27,7.0942,10.911,0.040283,vapor
563.15,0.1,0.021596,46.305,73.115,77.745,184.36,265.61,274.42,217.29,6.9007,11.007,0.040907,vapor
568.15,0.1,0.021398,46.733,74.448,79.121,186.79,267.26,276.06,218.3,6.7155,11.103,0.041533,vapor
573.15,0.1,0.021204,47.16,75.79,80.506,189.22,268.91,277.69,219.31,6.5381,11.199,0.042161,vapor
578.15,0.1,0.021014,47.587,77.139,81.898,191.63,270.54,279.31,220.31,6.3681,11.294,0.04279,vapor
583.15,0.1,0.020827,48.014,78.497,83.299,194.05,272.16,280.91,221.3,6.2051,11.389,0.043421,vapor
588.15,0.1,0.020644,48.441,79.863,84.707,196.45,273.76,282.51,222.29,6.0486,11.484,0.044054,vapor
593.15,0.1,0.020464,48.867,81.237,86.124,198.85,275.36,284.09,223.28,5.8984,11.579,0.044689,vapor
598.15,0.1,0.020287,49.293,82.619,87.548,201.24,276.94,285.66,224.26,5.754,11.674,0.045325,vapor
298.15,0.5,6.7863,0.14736,-17.669,-17.595,-52.816,177.8,225.03,1135.4,-0.41161,391.87,0.12239,liquid
303.15,0.5,6.7439,0.14828,-16.539,-16.465,-49.057,179.58,226.94,1113.8,-0.40375,371.39,0.12089,liquid
308.15,0.5,6.7013,0.14923,-15.4,-15.326,-45.329,181.38,228.89,1092.3,-0.39564,352.48,0.11939,liquid
313.15,0.5,6.6584,0.15019,-14.251,-14.176,-41.629,183.2,230.87,1070.9,-0.3873,334.96,0.1179,liquid
318.15,0.5,6.6152,0.15117,-13.092,-13.017,-37.956,185.04,232.89,1049.7,-0.3787,318.69,0.11642,liquid
323.15,0.5,6.5718,0.15217,-11.923,-11.847,-34.309,186.91,234.94,1028.5,-0.36983,303.55,0.11495,liquid
328.15,0.5,6.528,0.15319,-10.744,-10.667,-30.685,188.79,237.01,1007.5,-0.36067,289.43,0.11349,liquid
333.15,0.5,6.4839,0.15423,-9.5541,-9.477,-27.085,190.69,239.12,986.57,-0.35122,276.22,0.11204,liquid
338.15,0.5,6.4393,0.1553,-8.3537,-8.2761,-23.508,192.6,241.25,965.74,-0.34144,263.85,0.11059,liquid
