,Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
0,298.15,1.0,6.7912,0.14725,-17.696,-17.549,-52.907,177.83,224.93,1139.2,-0.41269,394.03,0.12264,liquid
1,303.15,1.0,6.749,0.14817,-16.567,-16.419,-49.151,179.6,226.84,1117.7,-0.40491,373.48,0.12114,liquid
2,308.15,1.0,6.7065,0.14911,-15.429,-15.28,-45.424,181.4,228.78,1096.3,-0.39691,354.49,0.11965,liquid
3,313.15,1.0,6.6639,0.15006,-14.281,-14.131,-41.726,183.22,230.76,1075.1,-0.38867,336.9,0.11817,liquid
4,318.15,1.0,6.6209,0.15104,-13.124,-12.973,-38.055,185.07,232.77,1053.9,-0.38018,320.58,0.11669,liquid
5,323.15,1.0,6.5777,0.15203,-11.956,-11.804,-34.409,186.93,234.8,1032.9,-0.37144,305.38,0.11523,liquid
6,328.15,1.0,6.5341,0.15304,-10.777,-10.624,-30.788,188.81,236.87,1012.0,-0.36242,291.21,0.11378,liquid
7,333.15,1.0,6.4902,0.15408,-9.589,-9.4349,-27.19,190.71,238.96,991.24,-0.35312,277.96,0.11233,liquid
8,338.15,1.0,6.446,0.15513,-8.3899,-8.2348,-23.615,192.62,241.08,970.56,-0.34351,265.55,0.1109,liquid
9,343.15,1.0,6.4014,0.15622,-7.1802,-7.024,-20.061,194.53,243.23,949.98,-0.33356,253.9,0.10948,liquid
10,348.15,1.0,6.3563,0.15732,-5.9598,-5.8025,-16.527,196.46,245.39,929.5,-0.32326,242.94,0.10807,liquid
11,353.15,1.0,6.3108,0.15846,-4.7285,-4.57,-13.012,198.4,247.58,909.1,-0.31257,232.62,0.10667,liquid
12,358.15,1.0,6.2649,0.15962,-3.4862,-3.3266,-9.5156,200.34,249.8,888.8,-0.30145,222.89,0.10529,liquid
13,363.15,1.0,6.2184,0.16081,-2.2328,-2.072,-6.0369,202.29,252.04,868.57,-0.28987,213.68,0.10392,liquid
14,368.15,1.0,6.1714,0.16204,-0.9682,-0.80617,-2.575,204.24,254.3,848.42,-0.27778,204.96,0.10256,liquid
15,373.15,1.0,6.1239,0.1633,0.30775,0.47105,0.87091,206.19,256.59,828.34,-0.26513,196.7,0.10121,liquid
16,378.15,1.0,6.0757,0.16459,1.5952,1.7598,4.3016,208.15,258.9,808.32,-0.25185,188.85,0.099875,liquid
17,383.15,1.0,6.0268,0.16592,2.8942,3.0601,7.7177,210.11,261.24,788.35,-0.23788,181.38,0.098552,liquid
18,388.15,1.0,5.9773,0.1673,4.205,4.3723,11.12,212.06,263.62,768.42,-0.22313,174.27,0.097241,liquid
19,393.15,1.0,5.927,0.16872,5.5276,5.6963,14.51,214.02,266.02,748.52,-0.20753,167.49,0.095941,liquid
20,398.15,1.0,5.8758,0.17019,6.8623,7.0325,17.887,215.97,268.46,728.65,-0.19095,161.01,0.094653,liquid
21,403.15,1.0,5.8238,0.17171,8.2093,8.381,21.253,217.93,270.95,708.78,-0.17328,154.8,0.093376,liquid
22,408.15,1.0,5.7708,0.17328,9.5688,9.7421,24.608,219.88,273.47,688.9,-0.15438,148.86,0.09211,liquid
23,413.15,1.0,5.7168,0.17492,10.941,11.116,27.953,221.83,276.05,669.0,-0.13407,143.16,0.090854,liquid
24,418.15,1.0,5.6617,0.17662,12.326,12.503,31.29,223.78,278.69,649.06,-0.11215,137.68,0.089607,liquid
25,423.15,1.0,5.6054,0.1784,13.725,13.903,34.618,225.73,281.4,629.06,-0.088383,132.41,0.088368,liquid
26,428.15,1.0,5.5477,0.18026,15.137,15.317,37.94,227.67,284.18,608.98,-0.062479,127.33,0.087137,liquid
27,433.15,1.0,5.4885,0.1822,16.563,16.745,41.256,229.62,287.06,588.78,-0.034084,122.42,0.085913,liquid
28,438.15,1.0,5.4277,0.18424,18.003,18.188,44.568,231.56,290.05,568.43,-0.0027628,117.68,0.084693,liquid
